brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
India Mahal,"Grills,Indian,Vegetarian",OK,56,7.00,10.00,
China Bistro,"Asian,Chinese,Japanese",Good,56,5.00,10.00,
"Moshi Momo & Sushi, Al Barsha 1","Japanese,Thai,Asian",Good,55,5.00,40.00,
Build Your Own Poke,"Bowls,Healthy,Seafood",Good,54,7.00,10.00,
The Butcher Shop & Grill Retail,"Specialty Store,Butchery",Very good,52,7.00,10.00,
Lila Cafe,"Cafe,International,Arabic",Very good,62,7.00,10.00,
"Little Bangkok, Jumeirah Lakes Towers","Thai,Asian,Chinese",Very good,54,7.00,10.00,
Kahloun Restaurant and Cafe,"Lebanese,Arabic,Breakfast",Good,58,5.00,10.00,
Dum Biryani,Indian,Good,54,7.00,10.00,
The Breakfast Shop,"American,International,Arabic",Good,53,7.00,10.00,
Wok Corner,"Asian,Chinese,Japanese",Good,59,7.00,10.00,
Kava and Chai,Cafe,Good,52,7.00,10.00,
Gifto's Of London,"Indian,Pakistani",Very good,53,7.00,10.00,
"Panda Express Restaurant, Dubai Marina",Chinese,Good,54,7.00,10.00,
Bread & Olives Restaurant,"Lebanese,Arabic,Breakfast",Good,57,9.00,10.00,
Grand Gandofly,"Seafood,Egyptian,Arabic",Very good,55,5.00,50.00,
Burger Bun,"Burgers,Sandwiches,American",OK,55,5.00,10.00,
The Vietnamese Sandwich Co,Sandwiches,Very good,55,7.00,10.00,
"Charleys Philly Steaks, Ibn Battuta Mall","Sandwiches,American,Breakfast",Good,54,7.00,10.00,
"Sultan Saray Restaurant,Um Al Sheif","Breakfast,Turkish,Shawarma & Doner",Very good,63,7.00,10.00,
Chicken Cottage,American,Good,54,7.00,10.00,
JJ Chicken,"Arabic,Healthy,Lebanese",Good,55,5.00,10.00,
Ben's Famous Subs,Sandwiches,Good,56,7.00,10.00,
"Shanghai Station,Jumeirah Lakes Towers - JLT","Asian,Chinese,Thai",Good,58,Free,0.00,
"Subway, Springs","Healthy,Sandwiches,Breakfast",Good,53,7.00,10.00,
All Things Acai,"Bowls,Desserts,Smoothies",Very good,51,7.00,10.00,
Luca The Italian,"Italian,Pizza,Pasta",Very good,55,7.00,10.00,
The Pasta Guyz,"Italian,Pasta",Good,54,7.00,10.00,
"Cupagahwa, The Beach, Jumirah Beach Residents","Burgers,Cafe,Desserts",OK,58,7.00,10.00,
ALBOE,"American,Burgers",OK,63,7.00,10.00,
Mandarin Oak,"Chinese,Asian,Soups",Very good,56,7.00,10.00,
Dairy Queen,Desserts,Very good,57,7.00,10.00,
Kinahon,"Asian,Breakfast",OK,59,7.00,10.00,
Jamaica Blue,"Cafe,Healthy",,58,7.00,10.00,
Dilli Cious Restaurant,"Indian,Grills",Good,57,5.00,10.00,
"Wok Boyz, Dubai Internet City","Asian,Chinese,Thai",Very good,57,Free,10.00,
Unbeleafable,"Healthy,Snacks ",Very good,55,7.00,10.00,
"Manoushe Street, JBR","Lebanese,Sandwiches,Healthy",Very good,52,7.00,10.00,
Health Junkie,"Breakfast,Healthy,International",Good,55,7.00,10.00,
Breakfasting,"Breakfast,Desserts,Healthy",OK,59,5.00,10.00,
Go! Chinese - Healthier. Better,Chinese,Good,54,7.00,10.00,
Khau Galli,"Indian,Vegetarian,Chinese",Very good,58,7.00,10.00,
BLOOM Vegan Kitchen,"Healthy,Vegetarian,International",Very good,58,5.00,10.00,
"Hot Plate Restaurant, Discovery Gardens","Asian,Chinese,Indian",Good,59,7.00,10.00,
Country Fried Chicken,"American,Fried Chicken",OK,65,7.00,10.00,
Falafeloumi,"Breakfast,Healthy",,71,3.00,10.00,
"Bangkok Town Restaurant , Abu Hail","Thai,Asian",Very good,60,Free,200.00,
Prax's,"Chinese,Thai",OK,54,7.00,10.00,
Keto Hut,"Healthy,Pizza,Burgers",OK,53,7.00,10.00,
The Crepe King,"Desserts,Beverages",OK,55,5.00,10.00,
Vamos Tacos,Mexican,Good,56,7.00,10.00,
"Pushkin Restaurant, Ibn Battuta",International,Very good,65,7.00,10.00,
"Doner Kebab, Barsha Heights - TECOM","Shawarma & Doner,Sandwiches",Good,51,9.00,10.00,
"Burger 28, JLT","American,Burgers",Good,57,5.00,10.00,
Noodlii,"Thai,Asian,Chinese",Good,54,7.00,10.00,
Optx 2020,Optical,,59,7.00,10.00,
House of Pizza,"Pizza,Italian",Good,56,5.00,10.00,
Tawook Heroes,"Sandwiches,Arabic",Very good,59,7.00,10.00,
"Yawmi, Al Sufouh 2","Healthy,Lebanese,Arabic",Very good,54,7.00,10.00,
Verdura,"Grills,Lebanese,Arabic",Very good,64,7.00,10.00,
Levant Eats Restaurant,"Lebanese,Arabic,Grills",Good,60,3.00,10.00,
"Perfetto Pizzeria, Jumeirah Lakes Towers - JLT","Italian,Pizza",Good,55,7.00,10.00,
Spice Story,"Grills,Indian,Pakistani",Good,57,9.00,0.00,
Burgerville,"Burgers,Sandwiches",,70,7.00,10.00,
Hokee Poke,Healthy,,72,7.00,10.00,
Crepe & Breakfast,"Breakfast,Desserts",Good,54,7.00,10.00,
25 Degrees North Restaurant,"Indian,Pakistani,Vegetarian",Good,57,9.00,10.00,
Yogurtland Restaurant,"Frozen Yogurt,Specialty Store,Cakes and Desserts",Good,53,7.00,10.00,
"Pinkberry, Al Sufouh 2","Desserts,Frozen Yogurt",OK,52,7.00,10.00,
Rose Gold Flowers Trading,Flowers,OK,60,6.00,100.00,
Chateau Shawarma,"Arabic,Shawarma & Doner,Sandwiches",Good,56,7.00,10.00,
OptiVision,Optical,,80,7.00,10.00,
Wings of New York,Wings,Good,55,7.00,10.00,
Omelette,"Breakfast,Desserts,International",OK,58,5.00,10.00,
Mami's Illam Pure Veg restaurant,"Vegetarian,Beverages,Indian",Good,55,7.00,10.00,
"Super Bowl Asian Cafe, Discovery Gardens","Asian,Chinese,Japanese",Very good,61,9.00,10.00,
Section 86 Burgers & Fries,"Burgers,Beverages",Good,56,7.00,10.00,
"Broccoli Pizza & Pasta, Meadows","Pizza,Pasta,Italian",Good,53,7.00,10.00,
Acai Bowl by UNDER500,Healthy,OK,54,7.00,10.00,
Xenia Cafe & Lounge,"International,Arabic,Lebanese",Very good,60,7.00,10.00,
Poke Me,"Healthy,Bowls",Good,56,7.00,10.00,
Brazil Bites,International,OK,70,5.00,10.00,
Hot Kurry Indian Dhaba,Indian,Good,57,7.00,10.00,
Curry Home,Indian,Very good,57,7.00,10.00,
"Broccoli Pizza & Pasta, Barsha Heights - TECOM","Pizza,Pasta,Italian",Good,56,7.00,10.00,
Fusion Amaravathi,"Indian,Pakistani,Chinese",Good,57,7.00,10.00,
Haji Sahab,"Indian,Pakistani,Grills",Very good,54,7.00,10.00,
Urban Lobster Rolls & Fish and Chips,"Seafood,International,Healthy",Very good,56,7.00,10.00,
Wonderbee,"Specialty Store,Cakes and Desserts",,54,9.00,10.00,
Street Food by Punjab and Grill,"Asian,Indian",OK,60,7.00,10.00,
Dastarkhwan,"Pakistani,Grills,Indian",OK,58,5.00,10.00,
Al Baalbaki,"Lebanese,Sandwiches",Very good,59,9.00,10.00,
Hola Mexicana,Mexican,OK,59,5.00,10.00,
Al Bait Al Sanaanee Mandi & Madhbi,"Arabic,Mandi",Very good,60,Free,50.00,
Yalla Indian Curries,"Grills,Indian,Snacks ",,61,7.00,10.00,
Pomodorini Cucina Italiana,"Italian,Pizza,International",OK,57,7.00,10.00,
Ichiban,"Japanese,Asian,Healthy",Very good,55,7.00,10.00,
Black Petals Flowers,Flowers,Very good,60,9.00,200.00,
GYMFOOD,"Healthy,Fresh Juice,Salads",Good,56,7.00,10.00,
The Glow Paradise,"Healthy,Fresh Juice,Salads",OK,55,7.00,10.00,
Feta Restaurant,"Seafood,International,Grills",Very good,59,9.00,0.00,
The Goodness Company  Vegan Chocolates,"Specialty Store,Cakes and Desserts",,59,9.00,10.00,
"Peppermill, Jebel Ali 1",Indian,Good,58,9.00,10.00,
Japang Japanese Fried Chicken,"Fried Chicken,Burgers,Japanese",Very good,54,7.00,10.00,
Manoushe W Nos,"Lebanese,Sandwiches,Arabic",Very good,59,7.00,10.00,
Pedalo - Gelato & Floats,"Specialty Store,Ice Cream,Cakes and Desserts",,72,7.00,10.00,
Seville's Restaurant & Bar,"Grills,Seafood,International",Amazing,59,9.00,10.00,
Toma Lounge,"Lebanese,International",Very good,59,7.00,10.00,
Go! Noodle - Wok Bowls,"Asian,Chinese,Thai",Good,54,7.00,10.00,
Mai Himmaak Cafeteria,"Cafe,Sandwiches,Burgers",Very good,56,7.00,10.00,
Raging Wings,"American,Grills",OK,62,7.00,10.00,
Freddies Fish And Chips,"Burgers,Sandwiches,Seafood",OK,58,5.00,10.00,
OG Sliders,"Sliders,American,Burgers",Good,58,7.00,10.00,
Lizzat Biryani,Indian,Good,59,7.00,10.00,
The Cheesecake Factory,"American,Breakfast,Desserts",Good,54,7.00,10.00,
Level Social by Millennium Place Barsha Heights,"Italian,International,Desserts",OK,62,7.00,10.00,
Terqwaz Blue,"Arabic,International",Good,57,7.00,10.00,
Fikra W Hadiya,Flowers,Very good,60,Free,100.00,New
"Hatam, Ibn Batutta Mall","Arabic,Iranian",Very good,57,7.00,10.00,
"Perfetto Pizzeria,Dubai Marina","Italian,Pizza",Good,56,7.00,10.00,
Saucy Skewers,"Arabic,Sandwiches",OK,62,7.00,10.00,
Oriental Box,"Chinese,Thai,Asian",Very good,55,7.00,10.00,
St. Pita,"Arabic,Shawarma & Doner",OK,61,7.00,10.00,
"UNDER500 , Al Sufouh 2","Healthy,Salads,Burgers",Very good,56,7.00,10.00,
Matchstick Masala,Indian,Good,56,7.00,10.00,
Casa Del Bene,"International,Italian",Good,55,9.00,0.00,
Bak Bak Chicken,"Arabic,Lebanese,Sandwiches",Good,57,7.00,10.00,
Shawarmama,Shawarma & Doner,Good,55,7.00,10.00,
Atsu Asian & Noodles,"Asian,Chinese",OK,60,9.00,10.00,
JJ`s Burritos and Tacos,Mexican,,60,9.00,10.00,
Dubai Rose Garden,Flowers,OK,60,9.00,200.00,
French Bakery,"Sandwiches,Breakfast,Desserts",Very good,53,9.00,10.00,
"Denny`s, Jebel Ali 1","American,Breakfast,Burgers",Very good,63,7.00,10.00,
Otea Cafe,"Asian,Beverages,Breakfast",Very good,53,9.00,10.00,
Oh My Tacos!,"Desserts,Fast Food,Sandwiches",Very good,59,9.00,10.00,
"Right Bite Express, Al Sufouh 2","Healthy,Sandwiches,Salads",Very good,55,7.00,10.00,
Fresh Juice Hub,Beverages,Good,57,7.00,10.00,
Manila street food,"Snacks ,Beverages",Good,57,7.00,10.00,
Culinary Boutique,"Breakfast,Healthy,Salads",Good,58,9.00,10.00,
Jet Set Burger,"Burgers,Fast Food,American",Very good,57,7.00,10.00,
Al Mahashi Restaurant,"Egyptian,Arabic",Very good,60,5.00,30.00,
Burger Biz,"American,Burgers",,56,9.00,10.00,
Project Kunafa Cafe,"Lebanese,Sandwiches,Desserts",Good,58,7.00,10.00,
Al Fallah Al Masry,Egyptian,Very good,61,9.00,10.00,
Swades Vegetarian Restaurant,"Indian,Vegetarian",Very good,57,7.00,10.00,
Beit El Keto,"Grills,Healthy,Lebanese",Good,59,7.00,10.00,
Saladii,"Healthy,Salads,Wraps",Good,60,7.00,10.00,
Sultan Baba Iskender,Turkish,Good,60,7.00,10.00,
Max's Restaurant,Asian,Very good,60,7.00,10.00,
James Bond Burger,"Burgers,American",Good,67,7.00,10.00,
Asian Taste Restaurant,"Asian,Desserts",Good,58,7.00,10.00,
Jabbour Restaurant,"Lebanese,Sandwiches,Arabic",Very good,58,7.00,10.00,
Shrimp Kingdom,"Seafood,International",Very good,67,7.00,10.00,
Tastebuns,"Burgers,Fried Chicken,American",Good,57,7.00,10.00,
Itsu Modern Japanese Restaurant,Japanese,Very good,72,7.00,10.00,
Edo Sushi & Poke,"Vegetarian,Japanese,Seafood",Very good,61,7.00,10.00,
Grills Combo,"Arabic,Shawarma & Doner,Grills",OK,57,7.00,10.00,
aklé,"Arabic,Healthy,Lebanese",OK,61,9.00,10.00,
"Att Falafel, Jumeirah Beach Residence - JBR","Lebanese,Arabic,Shawarma & Doner",Very good,58,7.00,10.00,
Mama's Pasta By WeDallas,Italian,Good,62,9.00,10.00,
InstaPizza,"Pizza,Italian",OK,62,5.00,10.00,
Cake Delight,"Specialty Store,Cakes and Desserts",OK,58,7.00,10.00,
Reel Cinemas,"Beverages,Cafe",Good,59,7.00,10.00,
Urjuwan,"Lebanese,Arabic,Healthy",Good,62,9.00,10.00,
"Nayaab Handi Restaurant, Al Barsha 1","Indian,Pakistani",Very good,61,9.00,10.00,
District Asia,"International,Chinese,Japanese",Very good,62,9.00,10.00,
"Mix N Match, Al Sufouh 2","Italian,Sandwiches,International",Good,58,7.00,10.00,
Nathan's Famous - The Flavor of New York,"American,Burgers,Sandwiches",Good,57,7.00,10.00,
"Papa John`s, Al Sufouh 2","American,Pizza",Good,59,7.00,10.00,
"Healthy & Diet Restaurant, Al Barsha 3","Healthy,Sandwiches,Breakfast",Very good,60,7.00,10.00,
"Papa Kanafa, Al Barsha 1","Specialty Store,Bakery,Desserts",Good,59,7.00,10.00,
Automatic Restaurant & Grill,"Arabic,Lebanese,Sandwiches",Good,59,7.00,10.00,
Ultimate Chicken,"Lebanese,Sandwiches,Arabic",Very good,58,7.00,10.00,
Rice Asian Canteen,"Asian,Chinese,Japanese",Good,60,9.00,10.00,
Glamour Rose,Flowers,OK,60,6.00,100.00,
Stopover Restaurant,"Burgers,Sandwiches,Arabic",Good,63,9.00,10.00,
Abu Ahmed Express,"Arabic,Grills,Lebanese",,63,9.00,10.00,
Fuze Chicken,Grills,,63,9.00,10.00,
Karak,"Specialty Store,Roastery",,58,9.00,10.00,
Wedallas,"American,Burgers",Very good,65,9.00,10.00,
Soy,"Asian,Chinese,Thai",Very good,60,7.00,10.00,
The Market Restaurant & Cafe,"Arabic,Asian,Italian",Very good,64,7.00,10.00,
Adam's,"International,American,Sandwiches",Amazing,67,9.00,10.00,
Chowking,"Chinese,Asian",Very good,62,7.00,10.00,
Loaded Restaurant,"Fast Food,Sandwiches,Burgers",Good,59,9.00,10.00,
NAR Express,"Arabic,Lebanese,Sandwiches",Good,65,7.00,10.00,
Slider HQ,"Fast Food,Sliders",Good,69,9.00,0.00,
"Grillo The Healthier Option, Al Barsha","American,Burgers,Sandwiches",Good,60,6.00,50.00,
"Chappan Bhog, Discovery Gardens","Breakfast,Indian,Vegetarian",Good,59,7.00,10.00,
Alfeniq Express,"Lebanese,Sandwiches,Grills",Good,63,7.00,10.00,
Nature,"International,Healthy",Good,62,7.00,10.00,
"Happy Box, Al Barsha 3","Flowers,Specialty Store",Very good,60,15.00,0.00,
The Media Lounge Restaurant & Cafe,"Italian,Lebanese,Cafe",Very good,60,7.00,10.00,
Don Gogo's Pizza,"Pizza,Italian",Very good,59,9.00,10.00,
Bowls For You,"Healthy,International",,80,9.00,10.00,
"On The Wood, Al Barsha","Arabic,Lebanese,Sandwiches",Very good,60,7.00,40.00,
Burgers & Burgers,"Burgers,Fried Chicken,American",Good,60,7.00,10.00,
The Healthy Grocer by Right Bite,"Grocery,Convenience Store",Good,60,10.00,0.00,
Shop Kitopi,Grocery,Very good,60,10.00,0.00,
Anjappar Chettinad Discovery Gardens,"Indian,Seafood,Chinese",Good,60,7.00,10.00,
Xenia Cafe Lounge,"Lebanese,Sandwiches,Arabic",Very good,62,7.00,10.00,
Abu Jad falafel and more,"Arabic,Healthy,Sandwiches",Good,60,6.00,0.00,
"Freakin Healthy, Al Quoz Industrial Area 3","Specialty Store,Beverages",,60,10.00,0.00,
Nature Valley,"Specialty Store,Cakes and Desserts",OK,60,10.00,0.00,
Treat Corner,Specialty Store,,60,10.00,0.00,
SoDo Sourdough Pizza,"Pizza,Healthy,Italian",Good,61,7.00,10.00,
"Azkadenya, Al Sufouh 2","Arabic,Lebanese",Good,60,7.00,10.00,
Beit Al Darweesh,"Lebanese,Arabic,Breakfast",Good,61,7.00,10.00,
Mahashi Al Cheef Restaurant,"Egyptian,Arabic,Sandwiches",Good,60,6.00,50.00,
Farmer's Market,"Specialty Store,Fruits and Vegetables",Good,60,10.00,0.00,
"Just Burger, Al Barsha 1","American,Burgers,Sandwiches",Good,60,6.00,50.00,
Simply Oishii CAFE,"Japanese,Bakery and Cakes,Desserts",Very good,60,9.00,10.00,
Flower Maral Gifts,Flowers,Good,60,10.00,99.00,
Chai Adda Cafeteria,"Breakfast,Shawarma & Doner,Fresh Juice",Good,67,9.00,10.00,
Flavours of India,"Indian,Chinese",Good,65,7.00,10.00,
My Shawarma,"Shawarma & Doner,Lebanese,Sandwiches",Very good,55,9.00,0.00,
Wed and Wed Flowers,Flowers,Good,60,10.00,150.00,
Diet Grocer,"Grocery,Convenience Store",Good,60,10.00,0.00,
Noodle Bar,"Asian,Chinese,Japanese",Good,63,9.00,10.00,
Del Monte Cafe,"Cafe,Sandwiches,Snacks ",Amazing,56,9.00,10.00,
Only Organic,"Grocery,Convenience Store",Very good,60,10.00,0.00,
Betty Crocker,"Specialty Store,Bakery",OK,60,10.00,0.00,
Solidago Flower,Flowers,,60,10.00,100.00,
MIBO EatFit Keto,"Healthy,Pizza,Desserts",Good,58,9.00,10.00,
Gnarly Burgers,Burgers,OK,80,9.00,10.00,
AlHijaz Mandi Restaurant,"Arabic,Mandi",Good,59,9.00,10.00,
Aurum Restaurant & Cafe,"International,Salads,Breakfast",Very good,59,9.00,10.00,
Green Giant,"Grocery,Supermarket",OK,60,10.00,0.00,
Soil,"Grocery,Convenience Store",OK,61,9.00,10.00,
"Razon`s Of Guagua, Ibn Battuta Mall","Cafe,International,Asian",Good,60,9.00,10.00,
Petfood Essentials,Pet Shop,Good,60,10.00,0.00,
Koita,"Specialty Store,Beverages",OK,60,10.00,0.00,
emagine  grocery,Grocery,Very good,60,10.00,0.00,
"Hardee's, Jumeirah Lakes Towers","American,Burgers,Sandwiches",Very good,35,8.00,21.00,
Pizza Hut,"Pizza,International,American",Very good,35,8.00,0.00,
Intraflora,Flowers,OK,90,10.00,50.00,
KFC,"American,Burgers,Sandwiches",Good,35,7.00,22.00,
David F&B,"Breakfast,Fast Food,American",Amazing,49,3.00,10.00,
Delhi Darbar,"Indian,Pakistani,Chinese",Very good,45,5.00,0.00,
Healthy & Yummy Zone Hayz,"Healthy,Sandwiches,Breakfast",Good,50,5.00,10.00,
Deniz Restaurant and Cafe,"Turkish,International",Very good,51,5.00,10.00,
Moms Food,"Lebanese,Seafood,Arabic",Very good,45,Free,35.00,
Juicy's Cheesesteaks,"American,Sandwiches",Amazing,51,5.00,10.00,
Keto Fresh Bakery,"Specialty Store,Bakery",Good,50,3.00,10.00,
El Bakery,"Lebanese,Sandwiches,Arabic",,51,7.00,10.00,New
Bianco Italy,"Specialty Store,Ice Cream,Cakes and Desserts",,50,3.00,10.00,
"Charley's, Jumeirah Lakes Towers","Sandwiches,American,Breakfast",Very good,44,5.00,10.00,
"Just Salad, Jumeirah Lakes Towers","Healthy,Salads,Smoothies",Very good,45,5.00,10.00,
El Greco,"Grills,Healthy,Arabic",Very good,48,3.00,10.00,
The Gluten Free Shop,"Specialty Store,Desserts",OK,50,Free,35.00,
Rose King Flowers,Flowers,,35,9.00,10.00,New
Manaesho,"Lebanese,Arabic,Breakfast",Very good,45,6.00,50.00,
Brits DXB,"International,American,Healthy",,51,5.00,10.00,New
Muay Thai Kitchen,"Asian,Chinese,Thai",,51,5.00,10.00,New
Chicago's Original,"American,Sandwiches",,51,5.00,10.00,
Chicken Joes,"American,Grills,International",,51,5.00,10.00,New
Scarlets Bakery and Patisserie,"Specialty Store,Cakes and Desserts,Bakery",Amazing,51,7.00,10.00,
Spaghetto,"Italian,Pizza",,51,7.00,10.00,New
Atomic Sushi,"Healthy,Japanese",,50,5.00,10.00,
Riot Chicken,"Burgers,Fried Chicken,American",,50,5.00,10.00,New
"Caza Da Venice ,Jumeirah Lakes Towers - JLT","Italian,Pizza,Desserts",Good,51,3.00,10.00,
OMG Burger,"American,Burgers,Cafe",,51,3.00,10.00,
Paratha N Rolls,"Sandwiches,Snacks ,Indian",,51,3.00,10.00,
Lets Grab Italian,"Italian,Pizza",,51,3.00,10.00,
Al dente Restaurant,"Italian,Pizza,Desserts",Very good,50,Free,0.00,
Cibo Italiano,"Italian,Pizza,Breakfast",Very good,53,3.00,10.00,
Monty By 1762,"Arabic,Cafe",,49,3.00,10.00,
In 61 Burgers,"Burgers,International",Good,40,6.00,45.00,
"Ginny's Cafe, Jumeirah Lakes Tower - JLT","Breakfast,Cafe,Sandwiches",Good,51,5.00,10.00,
The Smokin' Patty,"Burgers,Sandwiches",,51,5.00,10.00,
Budapest Goulash,International,,51,5.00,10.00,New
Tia's Fresh Mex,"International,Healthy,Mexican",,45,6.00,30.00,
Cook Door,"Burgers,Sandwiches",Very good,40,7.00,50.00,
CHICKEN STRIP JOINT,"Fried Chicken,American,Fast Food",Very good,55,Free,10.00,
IL Giardino,Flowers,Very good,35,9.00,10.00,
Yalla Choco,"Desserts,Chocolate ",,49,5.00,10.00,
Tabkha,"Arabic,Fast Food,Grills",,52,7.00,10.00,New
Bazerkan,"Arabic,Grills,Lebanese",,50,7.00,10.00,New
L'avo,"Breakfast,Healthy,Vegetarian",Amazing,54,7.00,10.00,New
Moms Crepe,"Desserts,Arabic,Chocolate ",OK,52,5.00,10.00,
Nara Pan Asian,"Asian,Chinese,Thai",Very good,54,Free,0.00,
Charlie Khan's,"Indian,Pizza,Burgers",Good,47,7.00,10.00,
Coop Restaurant,"Arabic,Lebanese",Very good,50,6.00,50.00,
Little Bangkok Go,"Asian,Chinese,Thai",Very good,50,5.00,0.00,
Mix and Feast,"Arabic,Shawarma & Doner,Grills",,51,5.00,10.00,New
Baldwin Cafe,"International,Burgers,Sandwiches",Good,54,3.00,10.00,
Tasty Bowl Restaurant,"Indian,Asian",Good,40,Free,20.00,
Pasta Presto,"Italian,Pizza,International",Good,51,5.00,10.00,
Sachi Sushi & Morex,"Healthy,Japanese,Seafood",Amazing,54,7.00,10.00,
Salt Beef On Rye,"Healthy,Sandwiches,Salads",Very good,53,5.00,10.00,
Roast Speciality Coffee,"Sandwiches,Wraps,Cafe",Very good,50,7.00,10.00,
Honey Cakes by Marlenka,"Specialty Store,Cakes and Desserts",Amazing,50,7.00,10.00,
Savoury Fried Chicken And Smoothies,"American,Burgers,Fast Food",,50,7.00,10.00,New
Pizzeria Pulcinella,"Italian,Pizza",Very good,60,Free,50.00,
Shefaa Al Madeena Pharmacy,Pharmacy,Very good,50,9.00,10.00,
La baguette De l`entrecôte,"Grills,Sandwiches,International",,51,7.00,10.00,New
Bahar,"Iranian,Desserts",Very good,52,7.00,10.00,
BR8 Kitchen,"Healthy,Vegetarian",Very good,52,7.00,10.00,
HYU Korean Restaurant,Asian,Very good,42,9.00,10.00,
Al Reef,"Grocery,Convenience Store",OK,53,3.00,10.00,
Salad Crave,"Healthy,Sandwiches",Very good,54,7.00,10.00,
The Butcher Dubai Burger and Bar,"Burgers,Cafe,American",Very good,51,7.00,0.00,
Gourmet Feedz,"Healthy,Salads",OK,51,7.00,10.00,
Sumo Sushi and Bento (Jumeirah Lake Towers),"Healthy,Japanese,Asian",Very good,54,5.00,10.00,
"Mamaesh, Meadows","Breakfast,Arabic,Bakery",Very good,55,7.00,10.00,New
Duck Donuts,"Specialty Store,Cafe,Desserts",Very good,46,9.00,10.00,
Stefanos,"International,Sandwiches",OK,53,7.00,10.00,
Laderach Chocolatier Suisse,"Specialty Store,Cakes and Desserts",Amazing,50,9.00,10.00,
Keto Crush,"Healthy,International",Very good,51,7.00,10.00,
Royal Armani Flowers,Flowers,Good,35,9.00,10.00,
Mk & Co Flowers,Flowers,OK,35,9.00,10.00,
Al Haramain Perfumes,Specialty Store,Amazing,35,9.00,10.00,
Revo Cafe & Bar,"Healthy,Bakery and Cakes,Cafe",,57,5.00,10.00,
"O'Doner, The Palm Jumeirah","Turkish,Shawarma & Doner,Sandwiches",Good,45,5.00,0.00,
Xiao Wei Yang Hotspot,"Chinese,Asian",,52,7.00,10.00,
Haret Ghewar Restaurant & Coffee,"Arabic,Shawarma & Doner,Breakfast",OK,52,7.00,10.00,
The Grand Grill,International,,52,7.00,10.00,
L'Amoroso,"Italian,Pizza",OK,52,7.00,10.00,
Yakuza,Asian,OK,52,7.00,10.00,
Ghazal Al Sham,Arabic,,52,7.00,10.00,
Munchbox Keto,"Specialty Store,Cakes and Desserts",Amazing,52,7.00,10.00,
Samar Restaurant,"American,Cafe,International",,52,7.00,0.00,
Zahra's Persian Kitchen,"Iranian,Arabic",Good,52,7.00,10.00,
UpBeat Bowls & Burritos,"Healthy,Mexican",Very good,56,5.00,10.00,
Zenzi Thai,Thai,Very good,60,Free,50.00,
Shree Anandhaas Vegetarian Restaurant,"Indian,Vegetarian,International",Good,53,5.00,10.00,
"The Kebab Shop, Dubai Sport City","Shawarma & Doner,Indian,Sandwiches",Very good,62,5.00,10.00,
Khaana Badosh,"Indian,Pakistani,Chinese",Good,45,5.00,10.00,
Karamna Al Khaleej Restaurant & Gahwa,"Emirati,Arabic,Grills",OK,55,7.00,10.00,
Paratha Hut Restaurant,Indian,OK,53,7.00,10.00,
Durban Curry Cafe,International,Very good,53,7.00,10.00,
Carfoosh Restaurant,"Arabic,Breakfast,Grills",,53,7.00,10.00,
Andreea`s,International,,53,7.00,10.00,
My Gas LPG,Specialty Store,Good,60,Free,0.00,
Nathalie Bistro,"International,Sandwiches,Seafood",Good,57,5.00,10.00,
Akra Restaurant,"Arabic,Grills,Lebanese",,57,5.00,10.00,
"Pinkberry, Springs","Desserts,Frozen Yogurt",Good,47,7.00,10.00,
Fried Chicken Delights,"Fast Food,Sandwiches,Fried Chicken",,50,9.00,10.00,New
Misk Al Lail,"Arabic,International",Good,60,Free,20.00,
Harput Restaurant,"Turkish,Shawarma & Doner",Very good,60,Free,50.00,
"Leopolds of London, Jumeirah Beach Residence - JBR","Breakfast,Healthy,Italian",Good,54,7.00,10.00,
"Balance, Dubai Marina","Healthy,Sandwiches,Bowls",Good,54,7.00,10.00,
Clinton Street Baking Company,"International,American,Burgers",Good,54,7.00,10.00,
Al Dar Roastery,"Specialty Store,Roastery,Flowers",Very good,53,9.00,10.00,
Big And Fit Health Food,"Pharmacy,Nutrition",Very good,56,7.00,0.00,
Food Square Restaurant,"Italian,Lebanese,International",OK,52,7.00,10.00,
Casa Mia Pasta,"Italian,International,Pasta",OK,52,7.00,10.00,
El Mostacho,"Mexican,International",Good,47,9.00,10.00,
Sheikh & Shake,"American,Burgers,Pizza",Very good,56,7.00,10.00,
Fitness Feedz Meal Prep,"Breakfast,Healthy,Salads",Very good,55,7.00,0.00,
Oriental Gastronome Restaurant,"Chinese,International,Asian",Very good,57,7.00,10.00,
Chopsticks,"Asian,Chinese",,57,7.00,10.00,New
Rockbottom Cafe,"Burgers,Fast Food,American",,57,7.00,10.00,New
"Wing A Ding, DSO",Fried Chicken,,49,9.00,10.00,
Crepe Crazy,Desserts,Very good,48,7.00,10.00,
Ahmed Al Maghrebi,Specialty Store,Very good,54,9.00,10.00,
"Subway, Jumeirah Park","American,Sandwiches",Very good,49,7.00,10.00,
Din Tai Fung Grocery,Specialty Store,,50,9.00,10.00,
Afro Express Restaurant,"International,Seafood,Vegetarian",Good,54,7.00,10.00,
Gianfranco's Gourmet,"Italian,Pizza,Pasta",,54,7.00,10.00,
Ramses Cafe And Restaurant,"Egyptian,International,Seafood",Good,56,7.00,10.00,
Ilaichi Restaurant,Indian,Very good,56,7.00,10.00,
Al Nwfara Restaurant & Cafe,"Arabic,Lebanese,International",Good,56,7.00,10.00,
